,0
0,057_罐头食品
1,151_厨房用品
2,200_家用一次性用品
3,165_笔记本/纸
4,047_蛋品
5,070_婴儿奶粉
6,076_干脆小食
7,087_基本保健补品
8,116_男士服装
9,133_男士护肤品
10,125_护肤品
11,190_电脑及配件
12,127_头发清洁
13,187_手机
14,182_自行车
15,120_婴儿附件
16,058_面食
17,051_调味品
18,026_杂粮
19,128_头发护理
20,001_绿叶蔬菜
21,073_蛋糕/馅饼
22,002_根茎蔬菜
23,141_传统衣物清洁
24,007_新鲜水果
25,052_酱料
26,031_面包
27,045_低温饮品
28,060_大米
29,101_水
30,105_冲调饮料粉
31,183_衣架/夹子
32,198_餐具
33,140_卫生巾/护垫
34,037_冷冻点心
35,074_饼干/曲奇
36,020_其他肉类
37,061_dried 蔬果
38,184_家用附属品
39,044_奶酪黄油
40,053_酱油/醋
41,075_中国传统点心
42,107_果汁饮料
43,079_巧克力
44,104_茶饮料
45,150_玩具
46,136_卫生纸
47,147_鞋油
48,028_散卖小吃
49,029_冷藏点心
50,048_利乐砖奶
51,137_纸巾
52,055_面粉
53,050_烹调油/汁
54,156_体育用品
55,081_蜜饯
56,144_空气清新剂
57,068_即食早餐
58,122_女士内衣
59,146_防蛀防霉
60,022_冷冻水产
61,059_即食面
62,112_女士服装
63,019_西式加工肉
64,023_干水产类
65,080_糖果
66,193_男鞋
67,131_口腔护理
68,106_功能饮料
69,014_鸡肉
70,108_碳酸饮料
71,077_小饼干
72,008_豆制品
73,043_低温酸奶
74,033_熟食
75,025_坚果
76,129_头发定型
77,084_口香糖
78,024_冰鲜水产
79,083_肉类快餐
80,098_中国白酒
81,082_果冻
82,039_冰品
83,056_烘培辅料
84,011_猪肉
85,034_酱菜
86,195_童鞋
87,180_男士内衣
88,010_茶叶
89,049_乳饮料
90,015_鸭肉
91,192_寄售vcd
92,152_床上用品
93,012_牛肉
94,096_啤酒
95,004_包装蔬菜
96,032_蛋糕和西点
97,003_水果蔬菜
98,018_熏腌肉
99,166_电池和手电筒
100,132_妇婴护理品
101,135_特殊护肤品
102,042_低温鲜奶
103,100_咖啡/伴侣
104,142_清洁剂
105,185_照明用品
106,046_利乐枕奶
107,097_黄酒/米酒
108,066_谷类食品
109,095_葡萄酒
110,103_其他饮料
111,071_成人奶粉
112,094_药酒
113,194_女鞋
114,067_蜂蜜/营养茶
115,078_蛋卷
116,005_菇类蔬菜
117,027_调味料
118,163_学校用品
119,171_汽车装饰
120,158_家具
121,155_洗浴用品
122,121_婴儿装
123,179_厨房家电
124,069_婴儿食品
125,157_家庭装饰
126,041_冷冻微波食品
127,188_书籍/杂志
128,161_铅笔
129,111_少女装
130,130_染发剂
131,021_活水产
132,038_已处理冷冻品
133,054_果酱
134,086_海苔
135,138_尿裤/湿巾
136,085_肉松
137,162_美术用品
138,119_男童装
139,168_五金器具
140,062_宠物狗
141,176_购物袋
142,064_其它宠物
143,169_机油
144,145_杀虫剂
145,124_化妆品
146,113_其它时尚配饰
147,186_数码信息
148,017_其它禽类
149,160_钢笔
150,009_花卉园艺
151,181_视频音频产品
152,164_办公文具
153,102_植物蛋白饮料
154,149_大家电
155,173_汽车清洁与养护
156,118_女童装
157,189_儿童书籍
158,191_学习机/电子词典
159,178_家用小电器
160,139_成人护理纸
161,090_人参/虫草/灵芝
162,196_运动帆布鞋
163,143_上光剂
164,040_包装火锅类
165,088_美容保健补品
166,170_车用香水
167,006_无毒蔬菜
168,036_冷冻果蔬
169,091_糖尿病人食品
170,013_羊肉
171,115_女士配饰
172,092_药品
173,167_胶水和胶带
174,148_办公用机械
175,174_行李箱/包
176,063_宠物猫
177,197_电视
178,072_孕妇奶粉
179,177_礼品/节日用品
180,089_青少年健康补品
181,123_孕产妇内衣
182,117_青年装
183,172_汽车安全与防盗
184,035_进口冷冻品
185,099_进口酒/洋酒
186,175_学生书包
187,134_男士清洁品
188,114_男士配饰
189,154_取暖设备
